time,rmsd_normal
0.0,0.0
10.0,0.7826922535896301
20.0,0.9039018154144287
30.0,1.0493717193603516
40.0,1.2124342918395996
50.0,1.2578656673431396
60.0,1.366614818572998
70.0,1.4411273002624512
80.0,1.5778489112854004
90.0,1.6601351499557495
100.0,1.6311982870101929
110.0,1.7792892456054688
120.0,1.7937531471252441
130.0,1.9153896570205688
140.0,1.8859307765960693
150.0,2.0135154724121094
160.0,2.0241899490356445
170.0,1.8988462686538696
180.0,1.8303022384643555
190.0,1.8738752603530884
200.0,2.0250513553619385
210.0,2.0053718090057373
220.0,2.0998175144195557
230.0,2.1289498805999756
240.0,2.1363205909729004
250.0,2.1408283710479736
260.0,2.1623353958129883
270.0,2.095977783203125
280.0,2.0569686889648438
290.0,1.9901772737503052
300.0,2.0101382732391357
310.0,2.090318202972412
320.0,2.183347225189209
330.0,2.094169855117798
340.0,2.093294620513916
350.0,2.0336544513702393
360.0,2.0561394691467285
370.0,2.043325901031494
380.0,1.9466813802719116
390.0,2.055920362472534
400.0,2.0929903984069824
410.0,2.171142578125
420.0,1.9736963510513306
430.0,1.9112238883972168
440.0,2.086500406265259
450.0,2.0969138145446777
460.0,2.15529203414917
470.0,2.289170503616333
480.0,2.264063596725464
490.0,2.31601881980896
500.0,2.2966177463531494
510.0,2.3493967056274414
520.0,2.463014602661133
530.0,2.6564040184020996
540.0,2.5956883430480957
550.0,2.4477078914642334
560.0,2.426051378250122
570.0,2.5300586223602295
580.0,2.5314950942993164
590.0,2.440431594848633
600.0,2.5459370613098145
610.0,2.535349130630493
620.0,2.463408946990967
630.0,2.430659294128418
640.0,2.3062734603881836
650.0,2.286308526992798
660.0,2.2863643169403076
670.0,2.362198829650879
680.0,2.2237460613250732
690.0,2.2506189346313477
700.0,2.2879974842071533
710.0,2.4167823791503906
720.0,2.479236125946045
730.0,2.577238082885742
740.0,2.4867103099823
750.0,2.6058216094970703
760.0,2.6728107929229736
770.0,2.7564783096313477
780.0,2.7359554767608643
790.0,2.7257323265075684
800.0,2.751863479614258
810.0,2.608692169189453
820.0,2.605813503265381
830.0,2.569831132888794
840.0,2.5075266361236572
850.0,2.545994997024536
860.0,2.5328214168548584
870.0,2.561842441558838
880.0,2.5412802696228027
890.0,2.4288339614868164
900.0,2.5591864585876465
910.0,2.68272066116333
920.0,2.664010763168335
930.0,2.6387627124786377
940.0,2.598951816558838
950.0,2.7316462993621826
960.0,2.8081400394439697
970.0,2.892700672149658
980.0,2.8325729370117188
990.0,2.9439284801483154
1000.0,2.905735492706299
1010.0,2.8708596229553223
1020.0,2.852531671524048
1030.0,2.8943846225738525
