time,rg_epitope_normal
0.0,8.07759822557014
10.0,7.803694609658642
20.0,7.934557981574953
30.0,7.875520142882335
40.0,7.779807067474288
50.0,7.91162290790081
60.0,7.828156546808047
70.0,7.906013624184927
80.0,7.9317472117338
90.0,7.909879214597878
100.0,7.849948960277933
110.0,7.987441980663681
120.0,7.934327815285348
130.0,7.881445828672543
140.0,7.906832604436311
150.0,7.920331276496623
160.0,7.843417016740956
170.0,7.920666318529838
180.0,7.805967547913866
190.0,7.976408743264526
200.0,7.983880187192687
210.0,7.891980238006655
220.0,7.924740361147038
230.0,7.88879874929386
240.0,7.876140179213393
250.0,7.895484583631724
260.0,7.869538330840958
270.0,7.810260878773311
280.0,7.941272281424491
290.0,7.87363756386052
300.0,8.02313594554728
310.0,7.895627936727479
320.0,7.839697901797644
330.0,7.88394212104145
340.0,7.720172333419036
350.0,7.854240451532452
360.0,7.891242729588765
370.0,7.8829967739658615
380.0,7.9976882849790485
390.0,7.917614470867829
400.0,7.886525073360187
410.0,7.857316283175844
420.0,7.916279843685278
430.0,7.82168538169154
440.0,7.882631537260616
450.0,7.878295278063747
460.0,7.893899566975349
470.0,7.856890597596604
480.0,7.856469919676246
490.0,7.873055396287487
500.0,7.905606481551863
510.0,8.059907528736513
520.0,7.895944300509437
530.0,7.876797627997869
540.0,7.885644044362725
550.0,7.840315348276832
560.0,8.033612846687102
570.0,7.951834684323029
580.0,7.81773464497013
590.0,7.836732700625888
600.0,7.790265868722007
610.0,7.912162494178106
620.0,7.848505034894668
630.0,7.900356406554083
640.0,7.873810484554469
650.0,7.845918645566871
660.0,7.981337419998168
670.0,7.8252164433305405
680.0,7.807437457644962
690.0,7.878053016304565
700.0,7.979272652505714
710.0,7.888361717708366
720.0,7.93078204275088
730.0,7.88187189768323
740.0,7.802436609044839
750.0,7.98678887889411
760.0,7.816395721263163
770.0,7.890956102065807
780.0,7.962163612606576
790.0,7.883870780542307
800.0,7.878424236526142
810.0,7.830719922193
820.0,7.857539534758119
830.0,7.857887962662172
840.0,8.035351842064077
850.0,7.833695470300637
860.0,7.906463714181409
870.0,7.879318898625214
880.0,7.924970759493558
890.0,7.9702181420609195
900.0,8.082150761756479
910.0,7.856423217439225
920.0,7.851402088672374
930.0,7.858800154694784
940.0,7.891024031620722
950.0,7.799517565578851
960.0,7.8866595717471
970.0,7.910019676686934
980.0,7.87117474409948
990.0,7.926436516219577
1000.0,8.027020582766474
1010.0,7.972276642601102
1020.0,8.035841912048403
1030.0,8.078038485055917
1040.0,7.936329904426297
1050.0,7.866234297912247
1060.0,7.900428052832139
1070.0,7.946508348640085
1080.0,8.096393259552046
1090.0,7.955324311338883
1100.0,7.857211585489928
1110.0,7.912639956095949
1120.0,7.854288046031825
1130.0,7.891076118686517
1140.0,7.968085595285891
1150.0,7.91778103766378
1160.0,7.962987032914311
1170.0,7.827007478035745
1180.0,7.677120046429469
1190.0,7.872000752323712
1200.0,7.73915221860458
1210.0,7.92793464611896
1220.0,7.928617661756708
1230.0,7.898417759020699
1240.0,7.9306947362907065
1250.0,7.955193687893672
1260.0,7.834618549453015
1270.0,7.832345620778934
1280.0,7.89212174635932
1290.0,7.865763586999693
1300.0,7.9011021250353375
1310.0,7.9373570923426655
1320.0,7.892740078340695
1330.0,7.9125389825553425
1340.0,7.726002447903162
1350.0,7.753515913217622
1360.0,7.856452071661184
1370.0,7.7953300586450505
1380.0,7.838362686587986
1390.0,7.852584217007381
1400.0,7.919643068929129
1410.0,7.741592575138807
1420.0,7.93751352717831
1430.0,7.921105117427037
