time,rg_domain_cancer
0.0,23.746868958618403
10.0,23.44739137560857
20.0,23.540832173052937
30.0,23.604951967785244
40.0,23.193406946018115
50.0,23.32806504775436
60.0,23.41531747471207
70.0,23.759128592494708
80.0,23.840582174346597
90.0,23.74856743503878
100.0,23.73884495026495
110.0,23.679097857206372
120.0,23.62860739031699
130.0,23.451934384362954
140.0,23.343951857544788
150.0,23.350614217088594
160.0,23.231013999573996
170.0,23.26546832701882
180.0,23.21208331136958
190.0,23.616543862525933
200.0,23.404240109515374
210.0,23.476806608846424
220.0,23.376936596527443
230.0,23.165290478091325
240.0,23.328711741301202
250.0,23.164451258617486
260.0,23.04459234497427
270.0,22.91449007864885
280.0,23.124781718702327
290.0,23.143061113887406
300.0,23.137512651487082
310.0,23.005761297465966
320.0,23.07932171673715
330.0,23.038774123574047
340.0,22.95270792327574
350.0,23.01622512600104
360.0,23.120477703041495
370.0,23.122278457309182
380.0,23.01732890580869
390.0,22.868755264152767
400.0,23.027019735732043
410.0,23.206925012565495
420.0,23.29690816429775
430.0,23.292113482950327
440.0,23.364699027974474
450.0,23.450508495852176
460.0,23.393678512864092
470.0,23.46107065975552
480.0,23.31050084143058
490.0,23.41497515006085
500.0,23.548993599478813
510.0,23.452666373272443
520.0,23.360742099235416
530.0,23.29622096069437
540.0,23.482040401248938
550.0,23.556445476686726
560.0,23.465567612694176
570.0,23.55913115540585
580.0,23.500950598364327
590.0,23.539707034473597
600.0,23.711061740592747
610.0,23.71616184475346
620.0,23.632404919387753
630.0,23.929279100919512
640.0,23.710095145767028
650.0,23.58923616264768
660.0,23.643921558723402
670.0,23.703659336660156
680.0,23.746837133733397
690.0,23.80354916703784
700.0,23.91736204393562
710.0,23.69952507333894
720.0,23.780221742557956
730.0,23.719764122387136
740.0,23.922236165290414
750.0,23.780215052557274
760.0,23.83844627852578
770.0,23.8928372004083
780.0,23.771306817371872
790.0,23.705382549586258
800.0,23.884069073576356
810.0,23.92635238279434
820.0,23.743970417269026
830.0,23.4315873934528
840.0,23.520305053304025
850.0,23.510777504764736
860.0,23.642491718899436
870.0,23.642403443839914
880.0,23.63454688117359
890.0,23.58191195246491
900.0,23.822752832890583
910.0,23.985241376322872
920.0,24.127034383624416
930.0,24.176420904737782
940.0,23.967710114587394
950.0,23.99807422056541
960.0,24.00840404143739
970.0,24.03119881549615
980.0,23.881346467354277
990.0,24.290599894124714
1000.0,24.289175773952113
1010.0,24.283288293581922
1020.0,24.06184644564468
1030.0,24.103613288234328
1040.0,24.094194060401378
1050.0,24.13954915760066
1060.0,24.05042134983068
1070.0,24.132473653433852
1080.0,24.083823107261818
1090.0,23.872230730004667
1100.0,24.09664232558021
1110.0,23.814053942459946
1120.0,23.744826990154333
1130.0,23.896411390233315
1140.0,23.881248930296852
1150.0,24.04030453321375
1160.0,23.8542439424214
1170.0,23.892309736726855
1180.0,23.76654654696371
1190.0,23.756945093906285
1200.0,23.78737436624054
1210.0,23.627905416956228
1220.0,23.85618560909284
1230.0,23.921909735964658
1240.0,24.042849574168603
1250.0,24.05451893492383
1260.0,24.198787544179492
1270.0,24.088959313480668
1280.0,24.045695815511806
