time,rg_domain_normal
0.0,24.069483927750422
10.0,24.02371095799347
20.0,24.149682175867692
30.0,24.63188348115769
40.0,24.44420057161081
50.0,24.63915603806528
60.0,24.56806349057773
70.0,24.73325602930456
80.0,24.961332014671665
90.0,24.85323293596473
100.0,24.844212599016238
110.0,25.099761823963732
120.0,24.987918135185343
130.0,25.170252345097726
140.0,25.37814942941745
150.0,25.275307462285912
160.0,25.185228791279233
170.0,24.88212358748691
180.0,24.523671951211643
190.0,24.714567086308715
200.0,24.581874585959845
210.0,24.834166145637244
220.0,24.83522846434283
230.0,24.723829503791666
240.0,24.543221305244817
250.0,24.216772729365633
260.0,24.305407640882688
270.0,24.0543949212277
280.0,23.79734050513501
290.0,23.92199626318476
300.0,23.933519065216526
310.0,23.879596047466464
320.0,24.14069557427208
330.0,24.17048522671113
340.0,23.765794583701535
350.0,24.122094034701625
360.0,24.021319172281256
370.0,24.055789966196212
380.0,23.864983382715295
390.0,23.909589324329538
400.0,23.717197863743685
410.0,23.5594008871926
420.0,23.772214125439437
430.0,23.414203066121015
440.0,23.501342153486902
450.0,23.812292278973352
460.0,23.84463243711523
470.0,24.002587278845585
480.0,24.16314895101578
490.0,24.03753802171479
500.0,24.012323625233325
510.0,23.88385362206962
520.0,24.083478497490745
530.0,23.716492224893344
540.0,23.73895742526255
550.0,23.7221221154254
560.0,23.884605193426133
570.0,23.628480604679318
580.0,23.462160296976986
590.0,23.66116355098909
600.0,23.67430868140073
610.0,23.752181154662207
620.0,23.78312791842409
630.0,23.69466380891869
640.0,23.834392235362554
650.0,23.66576796376447
660.0,23.998068759933805
670.0,23.842161492074737
680.0,23.967388163992176
690.0,24.05356585055277
700.0,23.96789182823555
710.0,23.849243905465663
720.0,23.657818234218954
730.0,23.535834084273002
740.0,23.341866567292865
750.0,23.18824976805769
760.0,23.384622847502182
770.0,23.25922864414876
780.0,23.10483265594586
790.0,23.178389506519686
800.0,22.873835982962447
810.0,22.84241127019545
820.0,22.916985029630123
830.0,23.178736769368562
840.0,23.12724872758997
850.0,23.2059845082959
860.0,23.310586854942787
870.0,23.370469032994762
880.0,23.44883167450541
890.0,23.397249909640404
900.0,23.550338170398433
910.0,23.804651943529667
920.0,23.467945371513977
930.0,23.41117084747329
940.0,23.337826705260625
950.0,23.482687275598085
960.0,23.25353616501874
970.0,23.07816889918032
980.0,23.157293181125276
